SKU,product_type,price
SKU0,haircare,69.80800554211577
SKU1,skincare,14.84352327508434
SKU2,haircare,11.319683293090566
SKU3,skincare,61.163343016437736
SKU4,skincare,4.805496036345893
SKU5,haircare,1.6999760138659377
SKU6,skincare,4.078332863107945
SKU7,cosmetics,42.95838438246007
SKU8,cosmetics,68.71759674852733
SKU9,skincare,64.01573294127854
SKU10,skincare,15.707795681912138
SKU11,skincare,90.63545998228868
SKU12,haircare,71.21338907536008
SKU13,skincare,16.160393317379977
SKU14,skincare,99.1713286386242
SKU15,skincare,36.98924492862691
SKU16,skincare,7.547172109791272
SKU17,cosmetics,81.46253436923702
SKU18,haircare,36.443627770460935
SKU19,skincare,51.12387008796474
SKU20,skincare,96.34107243996338
SKU21,cosmetics,84.89386898495083
SKU22,haircare,27.67978088650196
SKU23,cosmetics,4.324341185864164
SKU24,haircare,4.156308359311108
SKU25,haircare,39.62934398509263
SKU26,haircare,97.44694661789282
SKU27,cosmetics,92.55736081240202
SKU28,cosmetics,2.397274705597141
SKU29,cosmetics,63.44755918520733
SKU30,haircare,8.022859210526393
SKU31,skincare,50.8473930517187
SKU32,skincare,79.20993601565672
SKU33,cosmetics,64.7954350001556
SKU34,skincare,37.46759232984246
SKU35,cosmetics,84.95778681635043
SKU36,skincare,9.813002578754052
SKU37,skincare,23.39984475261435
SKU38,cosmetics,52.0759306827078
SKU39,skincare,19.127477265823256
SKU40,skincare,80.54142417094033
SKU41,skincare,99.11329161531717
SKU42,skincare,46.52916761451677
SKU43,haircare,11.74327177630924
SKU44,cosmetics,51.35579091311039
SKU45,haircare,33.78413803306551
SKU46,haircare,27.0822071998889
SKU47,skincare,95.71213588093607
SKU48,haircare,76.03554442689172
SKU49,cosmetics,78.89791320564004
SKU50,cosmetics,14.203484264803022
SKU51,haircare,26.70076097246173
SKU52,skincare,98.03182965646508
SKU53,skincare,30.34147071121421
SKU54,haircare,31.146243160240854
SKU55,haircare,79.85505834078943
SKU56,skincare,20.986386037043378
SKU57,haircare,49.26320535073416
SKU58,skincare,59.84156137728931
SKU59,cosmetics,63.828398347710966
SKU60,skincare,17.028027920188702
SKU61,haircare,52.02874990329492
SKU62,cosmetics,72.79635395558736
SKU63,skincare,13.017376785287857
SKU64,skincare,89.63409560813533
SKU65,skincare,33.69771720664313
SKU66,skincare,26.03486977396209
SKU67,skincare,87.75543235400107
SKU68,haircare,37.93181238279032
SKU69,skincare,54.86552851706979
SKU70,haircare,47.914541824058766
SKU71,cosmetics,6.381533162747966
SKU72,cosmetics,90.20442752052809
SKU73,cosmetics,83.8510176813046
SKU74,haircare,3.170011413566155
SKU75,skincare,92.99688423397066
SKU76,haircare,69.10879954743032
SKU77,haircare,57.44974295897148
SKU78,haircare,6.306883176111915
SKU79,haircare,57.05703122110322
SKU80,skincare,91.12831835044432
SKU81,haircare,72.81920693031822
SKU82,skincare,17.034930739467917
SKU83,haircare,68.91124621160633
SKU84,haircare,89.10436729210225
SKU85,cosmetics,76.96299441519388
SKU86,skincare,19.99817694040422
SKU87,haircare,80.41403665035574
SKU88,cosmetics,75.27040697572501
SKU89,cosmetics,97.76008558193868
SKU90,skincare,13.881913501359142
SKU91,cosmetics,62.11196546396179
SKU92,cosmetics,47.71423307582023
SKU93,haircare,69.29083100290549
SKU94,cosmetics,3.037688724631414
SKU95,haircare,77.90392721944775
SKU96,cosmetics,24.42313142037338
SKU97,haircare,3.526111259143416
SKU98,skincare,19.7546048668786
SKU99,haircare,68.51783269927664
